ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban
0.0180433402747658,-0.4025981827884851,-0.2801312501262583,0.2772125909680383,1.0,True,True,False,False,True,True,True,False,False
-0.4985606241781538,0.3277523721824159,-0.4424295140882969,0.0,1.0,True,True,False,False,False,False,False,False,True
-0.5326901158677602,-0.4025981827884851,0.0,0.2772125909680383,1.0,True,True,True,False,False,False,True,True,False
0.0729834976287663,-0.4025981827884851,0.0444652777978187,0.2772125909680383,1.0,True,True,False,False,False,True,False,False,True
0.6207202179156196,1.240273222721773,2.4248398159077174,-0.6847824858196229,1.0,True,True,False,True,False,False,True,False,False
0.1340836120194275,1.1102708239369523,0.2608629630805368,0.2772125909680383,0.0,True,True,True,False,False,False,False,False,True
-0.2100415554069937,0.1088558772782801,-0.4965289354089764,0.2772125909680383,1.0,False,True,False,False,False,False,False,False,True
-0.3543843324552313,-0.1501055623556879,-0.2801312501262583,0.2772125909680383,1.0,True,True,True,False,False,False,True,False,False
0.036689696710063,0.36239185564675,1.67826780168234,0.2772125909680383,1.0,True,False,False,False,False,False,False,False,False
0.525324126510037,0.6399250665356925,-0.2801312501262583,0.2772125909680383,1.0,True,True,False,False,True,False,False,False,False
-0.3367368879718251,0.4558767266830253,-0.0420937963152684,0.0,0.0,True,True,False,False,False,True,False,False,False
-0.429136243521735,-0.2642489205182829,-0.5830880095220636,0.2772125909680383,,False,True,False,False,False,True,False,True,False
-0.2378446047346242,0.3004163942677907,0.4880805326273907,0.2772125909680383,,True,True,True,False,False,False,False,False,True
-0.4597695433797231,-0.0150950454796384,-0.3234107871828019,0.2772125909680383,1.0,True,False,False,False,False,False,False,False,False
4.703439850619116,-0.4025981827884851,1.1264537042114091,0.2772125909680383,1.0,True,True,True,False,False,False,False,True,False
-0.5318576892411844,0.3903538483227788,0.0,-2.608772639394945,1.0,True,True,False,False,False,True,False,False,True
-0.3140948837289643,0.1334791245601562,0.1851237732315854,0.2772125909680383,1.0,True,True,False,False,False,False,False,False,True
-0.2355138101802121,0.0785984971437713,0.2825027316088086,0.2772125909680383,1.0,False,True,False,False,False,False,False,True,False
-0.3408990211047039,-0.4025981827884851,-0.8211254633330535,0.2772125909680383,0.0,True,False,False,True,False,False,False,False,False
7.686357424290712,-0.4025981827884851,5.887202780431206,-0.6847824858196229,1.0,False,True,False,False,True,False,False,False,True
-0.3194224141390492,0.4948983134771849,0.1743038889674495,0.2772125909680383,1.0,True,False,False,False,False,False,False,False,False
-0.4727553987543051,-0.4025981827884851,-0.983423727295092,-0.6847824858196229,1.0,True,False,False,False,False,True,False,False,False
-0.4196465799787713,-0.0269893259463074,-0.3558704399752097,0.2772125909680383,0.0,True,True,False,False,False,True,False,True,False
-0.5754768444737545,-0.4025981827884851,-0.6155476623144713,0.2772125909680383,0.0,False,False,False,False,False,False,False,True,False
-0.2100415554069937,0.1088558772782801,-0.4965289354089764,0.2772125909680383,1.0,True,True,False,False,False,False,False,False,True
1.4964330290733243,-0.4025981827884851,3.030753334699328,0.2772125909680383,1.0,True,True,False,False,False,False,False,True,False
0.1312533614890699,-0.1939265956539419,0.3366021529294881,0.2772125909680383,1.0,True,True,False,True,False,True,True,False,False
0.0674894818933663,-0.4025981827884851,0.5313600696839343,-1.646777562607284,1.0,True,True,False,True,False,False,True,True,False
0.8999161084691312,-0.4025981827884851,-0.7886658105406458,0.2772125909680383,1.0,True,False,False,False,False,False,True,False,True
-0.2100415554069937,0.1088558772782801,-0.4965289354089764,0.2772125909680383,1.0,False,True,False,False,False,False,False,False,True
-0.3408990211047039,-0.4025981827884851,-0.8211254633330535,0.2772125909680383,0.0,True,False,False,True,False,False,False,False,False
5.727824057283252,-0.4025981827884851,4.805214354017616,-2.608772639394945,0.0,True,True,False,False,True,False,False,True,False
-0.2932842180645701,-0.4025981827884851,-0.4965289354089764,0.2772125909680383,1.0,True,False,False,False,False,True,False,False,False
-0.5628239597498028,-0.1108753039743937,-0.7670260420123739,0.2772125909680383,,True,True,True,False,False,False,False,False,True
5.348237515564704,-0.4025981827884851,-0.0420937963152684,0.2772125909680383,1.0,True,False,True,False,False,False,False,True,False
-0.2639828008091032,-0.0443090676784745,-0.4316096298241609,0.2772125909680383,1.0,True,True,False,True,False,False,False,True,False
-0.287623717003855,-0.4025981827884851,-1.0158833800874998,0.2772125909680383,1.0,False,False,True,False,False,True,True,True,False
-0.4016661648447348,0.2060968368829772,0.0552851620619546,0.2772125909680383,1.0,True,False,False,False,False,False,False,False,True
-0.4041634447244621,0.4320881657496875,0.2608629630805368,-0.6847824858196229,0.0,True,True,False,False,True,False,False,True,False
-0.287623717003855,-0.4025981827884851,-1.0158833800874998,0.2772125909680383,1.0,False,False,True,False,False,True,True,True,False
-0.6299175458518095,-0.0549513186223362,-1.1024424542005868,0.2772125909680383,1.0,False,False,False,False,False,False,False,False,True
-0.8192113607351384,0.7025265426760554,0.1310243519109059,0.2772125909680383,1.0,False,True,False,False,False,False,True,False,False
-0.5430122060372996,0.1017610433157056,-0.2152119445414429,0.2772125909680383,1.0,True,True,False,False,False,False,False,False,True
-0.1294626579544596,-0.2099943078633017,-0.3883300927676174,-2.608772639394945,1.0,True,True,False,False,False,False,False,False,True
-0.4294692141723653,0.0539752498618952,-0.0312739120511325,0.2772125909680383,1.0,True,True,False,False,False,False,False,False,False
-0.5346879397715419,0.2931128887180817,0.1743038889674495,0.2772125909680383,1.0,True,True,False,False,False,False,False,True,False
-0.2696433018698184,0.1255496042490435,-1.091622569936451,0.2772125909680383,1.0,True,False,False,False,False,True,False,False,False
-0.3643734519741405,0.519104217584792,-0.3558704399752097,0.2772125909680383,1.0,True,True,False,False,False,True,False,True,False
-0.351887052575504,-0.4025981827884851,-0.0096341435228607,-4.917560823685332,1.0,False,False,True,False,False,False,False,True,False
